UID14,Pfister,Auden Tuscan Bronze 4-in centerset 2-handle WaterSense Bathroom Sink Faucet with Drain and Deck Plate,820525,LF-048-ADYY,https://mobileimages.lowes.com/productimages/6b452cdd-01ee-4abd-a1d4-0d7c3aa993ed/10340030.jpg,www.lowes.com/pd/Pfister-Auden-Tuscan-Bronze-2-handle-4-in-Centerset-WaterSense-Bathroom-Sink-Faucet-with-Drain/1000244293,6.406,-1,-1,etc
UID15,DreamLine,Prime White 2-Piece 38-in x 38-in x 75-in Base/Door Neo-round Corner Shower Kit (Off-center Drain),1256293,DL-6703-04CL,https://mobileimages.lowes.com/productimages/79f4871d-31d8-4e35-991b-9857e0d96dd2/10089134.jpg,www.lowes.com/pd/DreamLine-Prime-Brushed-Nickel-White-Floor-Round-2-Piece-Corner-Shower-Kit-Actual-74-75-in-x-38-in-x-38-in/1000690734,75.0,38.0,38.0,etc
------------#foyer------------
UID16,ACME FURNITURE,Ingeborg Black Pu and Espresso Transitional Dining Room Set with Rectangular Table (Seats 4),1635635,71835,https://mobileimages.lowes.com/productimages/c11b58bb-352a-43fd-bc26-9540681757be/42615657.jpg,www.lowes.com/pd/ACME-Furniture-Ingeborg-5-Piece-Dining-Set/1002266716,30.0,36.0,47.0,etc
UID17,Boss Office Products,Black Traditional Ergonomic Upholstered Task Chair,1357703,B959-BK,https://mobileimages.lowes.com/productimages/e774549f-1b78-4618-add6-f24f43d6a038/45595391.jpg,www.lowes.com/pd/Boss-Office-Products-Black-Traditional-Task-Chair/1000872836,22.5,20.0,19.0,etc
UID18,Manhattan Comfort,Moore Gloss Modern Coffee Table,1955309,252351,https://mobileimages.lowes.com/productimages/49ebb469-2bd5-4ca1-8adc-8df10105e8a7/44341581.jpg,www.lowes.com/pd/Manhattan-Comfort-Moore-Gloss-Coffee-Table/1002448728,17.51,31.49,31.49,etc
------------#office------------
UID19,DuraMax Building Products,72-in Brown Modern/Contemporary Computer Desk,3778521,68052,https://mobileimages.lowes.com/productimages/ff962ec0-b2b4-4452-99b2-fbf6f311dff6/42439796.jpg,www.lowes.com/pd/DuraMax-Building-Products-Weston-72-in-Industrial-Metal-and-Wood-Desk-with-Shelves/5001717323,31.0,72.0,24.0,etc
UID20,BestOffice,White Contemporary Ergonomic Adjustable Height Swivel Faux Leather Gaming Chair,2886218,RC-7188-WHITE,https://mobileimages.lowes.com/productimages/83b3dc6c-bc1d-4c82-9b7b-1cdaf5611bab/16889135.jpg,www.lowes.com/pd/BestOffice-PC-Gaming-Chair-Racing-Office-Chair-Ergonomic-Desk-Chair-Massage-Pu-Leather-Recliner-Computer-Chair-with-Lumbar-Support-Headrest-Armrest-Footrest-Rolling-Swivel-Task-Chair-for-Women-Adults-White/1003270498,52.8,21.0,18.3,etc
------------#family room------------
